Year,Title,Gross
1984,Beverly Hills Cop,234760478
1984,Ghostbusters,229376332
1984,Indiana Jones and the Temple of Doom,179876727
1984,Gremlins,148171538
1984,The Karate Kid,90817155
1984,Police Academy,81198894
1984,Footloose,80038626
1984,Romancing the Stone,76572547
1984,Star Trek III: The Search for Spock,76471046
1984,Splash,69821334
1984,Purple Rain,68393249
1984,Amadeus,51565096
1984,Tightrope,48143579
1984,The Natural,47951979
1984,"Greystoke: The Legend of Tarzan, Lord of the Apes",45858563
1984,Revenge of the Nerds,40874452
1984,2010,40400657
1984,Breakin',38682707
1984,Bachelor Party,38435947
1984,Red Dawn,38376497
1984,The Terminator,38374581
1984,City Heat,38348988
1984,All of Me,36403064
1984,Places in the Heart,34901614
1984,The Killing Fields,34700291
1984,Friday the 13th: The Final Chapter,32980880
1984,Conan the Destroyer,31042035
1984,Dune,30928421
1984,The Gods Must Be Crazy,30031783
1984,Starman,28744356
1984,The Last Starfighter,28733290
1984,Cannonball Run II,28078073
1984,Teachers,27774237
1984,A Passage to India,27187653
1984,Pinocchio 1984 Re-release,26414038
1984,Protocol,26186631
1984,Micki + Maude,26080861
1984,The Cotton Club,25928721
1984,The Muppets Take Manhattan,25534703
1984,A Nightmare on Elm Street,25507443
1984,The Woman in Red,25349388
1984,Moscow on the Hudson,25068724
1984,The Flamingo Kid,23859382
1984,Sixteen Candles,23686027
1984,The Jungle Book 1984 Re-release,23456945
1984,Missing in Action,22812411
1984,A Soldier's Story,21821347
1984,Against All Odds,21689062
1984,"Oh, God! You Devil",21538850
1984,Rhinestone,21435321
1984,Weekend Pass,21058033
1984,Top Secret!,20458340
1984,Hot Dog... The Movie,20307325
1984,The NeverEnding Story,20162419
1984,Unfaithfully Yours,19928200
1984,Best Defense,19265302
1984,Blame It on Rio,18644570
1984,Lassiter,17513452
1984,Angel,17488564
1984,Johnny Dangerously,17124395
1984,Firestarter,17080167
1984,Beat Street,16596465
1984,Breakin' 2: Electric Boogaloo,15101131
1984,Children of the Corn,14568989
1984,Night of the Comet,14418922
1984,Supergirl,14296438
1984,The Ice Pirates,14255801
1984,The Evil That Men Do,13102025
1984,Irreconcilable Differences,12414210
1984,Dreamscape,12145169
1984,Up the Creek,11708269
1984,The River,11489982
1984,Tank,11302884
1984,Falling in Love,11129057
1984,Hard to Hold,11113806
1984,The Wild Life,11020375
1984,Broadway Danny Rose,10600497
1984,Where the Boys Are,10530000
1984,Thief of Hearts,10435015
1984,Terror in the Aisles,10004817
1984,Cloak and Dagger,9719952
1984,Country,9640000
1984,Bolero,8914881
1984,Body Double,8802128
1984,Oxford Blues,8793152
1984,The Bounty,8613462
1984,1984,8430492
1984,Reckless,8289916
1984,The Philadelphia Experiment,8103330
1984,Streets of Fire,8089767
1984,Just the Way You Are,7889694
1984,The Little Drummer Girl,7828841
1984,Ninja III: The Domination,7610785
1984,Iceman,7343032
1984,Hardbodies,7121719
1984,Alphabet City,7035585
1984,The Pope of Greenwich Village,6836201
1984,Runaway,6770587
1984,Swing Shift,6650206
1984,The Razor's Edge,6551987
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,6254148
1984,Firstborn,6250994
1984,Racing with the Moon,6045647
1984,Sheena,5778353
1984,The Lonely Guy,5718573
1984,Meatballs Part II,5410972
1984,Stop Making Sense,5384161
1984,Once Upon a Time in America,5322989
1984,Love Letters,5269990
1984,The Hotel New Hampshire,5142858
1984,American Dreamer,5021751
1984,No Small Affair,4994094
1984,Harry & Son,4864980
1984,"Grandview, U.S.A.",4743119
1984,C.H.U.D.,4654423
1984,Making the Grade,4561346
1984,This Is Spinal Tap,4491645
1984,Joy of Sex,4463841
1984,Mrs. Soffel,4385312
1984,Until September,4239154
1984,Pete's Dragon 1984 Re-release,4100000
1984,Entre Nous,3974975
1984,Flashpoint,3854833
1984,Cheech & Chong's: The Corsican Brothers,3772785
1984,Exterminator 2,3739406
1984,The Brother from Another Planet,3677209
1984,"Careful, He Might Hear You",2938179
1984,Crimes of Passion,2912945
1984,The Warrior and the Sorceress,2886225
1984,Phar Lap,2878404
1984,Impulse,2773433
1984,The Bear,2687148
1984,Under the Volcano,2556800
1984,"Silent Night, Deadly Night",2491460
1984,Choose Me,2490233
1984,Stranger Than Paradise,2454363
1984,A Sunday in the Country,2411143
1984,"Paris, Texas",2213299
1984,Electric Dreams,2193612
1984,Purple Hearts,2075282
1984,The Buddy System,1820049
1984,Body Rock,1689501
1984,Misunderstood,1525532
1984,Garbo Talks,1493782
1984,Finders Keepers,1467396
1984,Birdy,1455045
1984,Sahara,1402962
1984,Gabriela,1318839
1984,A Christmas Story 1984 Re-release,1311065
1984,The River Rat,1142944
1984,Mike's Murder,1059966
1984,Comfort and Joy,1057368
1984,The Bostonians,1009700
1984,The Power,929162
1984,Songwriter,865915
1984,Scandalous,526805
1984,Windy City,343890
1984,The Stone Boy,261033
1984,Champions,200498
1984,Razorback,150140
1984,Heartbreakers,148750
1984,Crackers,129268
1984,Repo Man,129000
1984,Eureka,123572
1984,Slayground,108128
1985,Out of Africa,225526205
1985,Back to the Future,223334965
1985,Rambo: First Blood Part II,150415432
1985,Rocky IV,127891353
1985,The Color Purple,94175854
1985,Cocoon,76113124
1985,The Jewel of the Nile,75973200
1985,Witness,68706993
1985,The Goonies,61410901
1985,Spies Like Us,60088980
1985,Police Academy 2: Their First Assignment,55600000
1985,Fletch,50612888
1985,A View to a Kill,50328158
1985,National Lampoon's European Vacation,49364621
1985,Mask,48230162
1985,The Breakfast Club,45876558
1985,White Nights,42160849
1985,Pale Rider,41410568
1985,Pee-wee's Big Adventure,40940662
1985,Brewster's Millions,40833132
1985,E.T. the Extra-Terrestrial 1985 Re-release,40607502
1985,Jagged Edge,40491165
1985,St. Elmo's Fire,37803872
1985,Mad Max Beyond Thunderdome,36230925
1985,Commando,35100000
1985,Teen Wolf,33087306
1985,One Hundred and One Dalmatians 1985 Re-release,33049729
1985,Silverado,32192570
1985,Murphy's Romance,30867525
1985,A Nightmare on Elm Street 2: Freddy's Revenge,29999213
1985,Desperately Seeking Susan,27398584
1985,Prizzi's Honor,26657534
1985,The Last Dragon,25755277
1985,Agnes of God,25627836
1985,Fright Night,24923585
1985,Summer Rental,24689703
1985,The Emerald Forest,24468550
1985,Weird Science,23834048
1985,Santa Claus: The Movie,23717291
1985,The Care Bears Movie,22934622
1985,Friday the 13th: A New Beginning,21930418
1985,The Black Cauldron,21288692
1985,Porky's Revenge,20518905
1985,Code of Silence,20345361
1985,Volunteers,19875740
1985,Young Sherlock Holmes,19739575
1985,Year of the Dragon,18707466
1985,Ladyhawke,18432000
1985,The Sure Thing,18135531
1985,Invasion U.S.A.,17536256
1985,To Live and Die in L.A.,17307108
1985,The Falcon and the Snowman,17130087
1985,Kiss of the Spider Woman,17005229
1985,Death Wish 3,16116878
1985,King Solomon's Mines,15057465
1985,Baby: Secret of the Lost Legend,14972297
1985,Clue,14643997
1985,Remo Williams: The Adventure Begins,14393902
1985,The Return of the Living Dead,14240081
1985,A Chorus Line,14202899
1985,Tomboy,14100000
1985,Follow That Bird,13961370
1985,One Magic Christmas,13677222
1985,Cat's Eye,13086298
1985,Vision Quest,12993175
1985,Real Genius,12952019
1985,Perfect,12918858
1985,Compromising Positions,12531831
1985,Silver Bullet,12361866
1985,Enemy Mine,12303411
1985,Lifeforce,11603545
1985,Just One of the Guys,11528900
1985,Star Wars: Episode VI - Return of the Jedi 1985 Re-release,11252123
1985,Return to Oz,11137801
1985,Krush Groove,11052713
1985,Gotcha!,10806919
1985,Missing in Action 2: The Beginning,10755447
1985,The Purple Rose of Cairo,10631333
1985,Moving Violations,10627754
1985,After Hours,10610050
1985,American Ninja,10499694
1985,Better Off Dead,10297601
1985,Lost in America,10179000
1985,Once Bitten,10000000
1985,Brazil,9929135
1985,Explorers,9873044
1985,The Journey of Natty Gann,9708373
1985,Ghostbusters 1985 Re-release,9389135
1985,Tuff Turf,9369329
1985,Sweet Dreams,9085049
1985,Target,9023199
1985,Mischief,8692426
1985,The Man with One Red Shoe,8645411
1985,That Was Then... This Is Now,8630068
1985,Secret Admirer,8622757
1985,Stick,8489518
1985,Twice in a Lifetime,8402424
1985,Fantasia 1985 Re-release,8194726
1985,D.A.R.Y.L.,7840873
1985,Runaway Train,7683620
1985,He-Man and She-Ra: The Secret of the Sword,7660857
1985,Into the Night,7562164
1985,The Trip to Bountiful,7491903
1985,Transylvania 6-5000,7196872
1985,Red Sonja,6948633
1985,Here Come the Littles,6565359
1985,Girls Just Want to Have Fun,6326051
1985,Plenty,6148000
1985,Rustlers' Rhapsody,6090497
1985,Heaven Help Us,6070794
1985,Gymkata,5730596
1985,Avenging Angel,5622787
1985,Creator,5349607
1985,King David,5111099
1985,Day of the Dead,5000000
1985,Gremlins 1985 Re-release,4914643
1985,Rainbow Brite and the Star Stealer,4889971
1985,The Company of Wolves,4389334
1985,The Mean Season,4349446
1985,That's Dancing!,4210938
1985,My Science Project,4122748
1985,Godzilla 1985,4116395
1985,The Heavenly Kid,3852271
1985,Ran,3607393
1985,Turk 182,3594997
1985,The Bride,3558669
1985,Starchaser: The Legend of Orin,3360800
1985,Fraternity Vacation,3333306
1985,The Legend of Billie Jean,3099497
1985,Rappin',2864844
1985,Fast Forward,2791350
1985,Hot Moves,2732684
1985,Bad Medicine,2685453
1985,Maxie,2564278
1985,A Private Function,2527088
1985,Marie,2507995
1985,Dance with a Stranger,2174622
1985,Blood Simple,2150000
1985,The Quiet Earth,2123135
1985,Re-Animator,2024021
1985,Warning Sign,1918117
1985,Bring on the Night,1890571
1985,The Slugger's Wife,1878561
1985,Heavenly Bodies,1839623
1985,American Flyers,1420355
1985,Certain Fury,1381091
1985,The Perils of Gwendoline in the Land of the Yik Yak,1337274
1985,The Aviator,1304192
1985,Wetherby,1299985
1985,Dreamchild,1215923
1985,DEFCON-4,1057064
1985,The Protector,981817
1985,The Hit,876775
1985,Fool for Love,836156
1985,Lust in the Dust,727639
1985,Pumping Iron II: The Women,628050
1985,Fever Pitch,618847
1985,Code Name: Emerald,561548
1985,Joshua Then and Now,542420
1985,Mishima: A Life in Four Chapters,502758
1985,Morons from Outer Space,441137
1985,The Holcroft Covenant,393825
1985,Subway,390659
1985,Sylvester,385687
1985,Movers & Shakers,372438
1985,Revolution,358574
1985,Private Resort,331816
1985,Eleni,305102
1985,The New Kids,199108
1985,The Bay Boy,162364
1985,The Doctor and the Devils,147070
1985,Petit Con,127426
1985,Almost You,95000
1985,Fandango,91666
1985,Wild Geese II,69342
1985,The Official Story,29426
1985,Trouble in Mind,19632
1985,Smooth Talk,16785
1985,When Father Was Away on Business,16131
1985,Colonel Redl,2357
1986,Top Gun,176913085
1986,Crocodile Dundee,174803506
1986,Platoon,138545632
1986,The Karate Kid Part II,115103979
1986,Star Trek IV: The Voyage Home,109713132
1986,Back to School,91258000
1986,Aliens,85175064
1986,The Golden Child,79817937
1986,Ruthless People,71624879
1986,Ferris Bueller's Day Off,70719704
1986,Down and Out in Beverly Hills,62134225
1986,The Color of Money,52293982
1986,Stand by Me,52287546
1986,Legal Eagles,49851591
1986,Cobra,49042224
1986,An American Tail,47483002
1986,Police Academy 3: Back in Training,43579163
1986,Heartbreak Ridge,42724017
1986,Peggy Sue Got Married,41382841
1986,Poltergeist II: The Other Side,40998097
1986,Short Circuit,40697761
1986,Pretty in Pink,40471663
1986,The Fly,40457197
1986,Three Amigos!,39246734
1986,Little Shop of Horrors,38749633
1986,About Last Night,38702310
1986,Running Scared,38500726
1986,The Money Pit,37499651
1986,Gung Ho,36611610
1986,Hannah and Her Sisters,35392203
1986,Nothing in Common,32324557
1986,Children of a Lesser God,31853080
1986,Lady and the Tramp 1986 Re-release,31129082
1986,Jumpin' Jack Flash,29844101
1986,Hoosiers,28607524
1986,Soul Man,27820000
1986,Wildcats,26285544
1986,The Great Mouse Detective,25336794
1986,Heartburn,25314189
1986,The Morning After,25147055
1986,Iron Eagle,24159872
1986,Crimes of the Heart,22905522
1986,Tough Guys,21458229
1986,A Room with a View,21040996
1986,F/X,20603715
1986,Friday the 13th Part VI: Jason Lives,19472057
1986,House,19444631
1986,Flight of the Navigator,18564613
1986,"Jo Jo Dancer, Your Life Is Calling",18034150
1986,The Delta Force,17768900
1986,Song of the South 1986 Re-release,17659346
1986,The Mission,17218023
1986,Legend,16837628
1986,Howard the Duck,16295774
1986,Raw Deal,16209459
1986,Armed and Dangerous,15945534
1986,Youngblood,15448384
1986,Sleeping Beauty 1986 Re-release,15120195
1986,Psycho III,14481606
1986,The Mosquito Coast,14302779
1986,Sweet Liberty,14205021
1986,One Crazy Summer,13431806
1986,Extremities,13418091
1986,Critters,13167232
1986,April Fool's Day,12947763
1986,Labyrinth,12910175
1986,Club Paradise,12308521
1986,No Mercy,12303904
1986,Brighton Beach Memoirs,11957943
1986,Firewalker,11949484
1986,Big Trouble in Little China,11100000
1986,Under the Cherry Moon,10090429
1986,Murphy's Law,9947631
1986,SpaceCamp,9697739
1986,Deadly Friend,8988731
1986,Manhunter,8620929
1986,Blue Velvet,8552275
1986,Care Bears Movie II: A New Generation,8540346
1986,Wise Guys,8475466
1986,Something Wild,8362969
1986,Lucas,8200000
1986,Haunted Honeymoon,8033397
1986,The Texas Chainsaw Massacre 2,8025872
1986,The Best of Times,7790931
1986,Quicksilver,7634909
1986,Maximum Overdrive,7433663
1986,Witchboard,7369373
1986,The Boy Who Could Fly,7177431
1986,The Name of the Rose,7153487
1986,She's Gotta Have It,7137502
1986,Blue City,6947787
1986,Trick or Treat,6797218
1986,9½ Weeks,6735922
1986,Black Moon Rising,6637565
1986,Just Between Friends,6408791
1986,A Fine Mess,6029824
1986,My Little Pony: The Movie,5958456
1986,Highlander,5900000
1986,The Transformers: The Movie,5849647
1986,The Hitcher,5844868
1986,Crossroads,5839031
1986,Mona Lisa,5794184
1986,Troll,5450815
1986,52 Pick-Up,5186646
1986,Out of Bounds,5099316
1986,Vamp,4941117
1986,Invaders from Mars,4884663
1986,Band of the Hand,4865912
1986,American Anthem,4845724
1986,Off Beat,4842778
1986,My Chauffeur,4781448
1986,Violets Are Blue...,4743287
1986,King Kong Lives,4711220
1986,Avenging Force,4679650
1986,"No Retreat, No Surrender",4662137
1986,Fire with Fire,4636169
1986,Eliminators,4601256
1986,That's Life!,4079895
1986,Tai-Pan,4007250
1986,The Manhattan Project,3900000
1986,Power,3800000
1986,The Wraith,3500000
1986,Head Office,3393807
1986,Born American,3388020
1986,'Round Midnight,3272593
1986,The Naked Cage,3136701
1986,Bullies,2995527
1986,Sid and Nancy,2826523
1986,Deadtime Stories,2750741
1986,Playing for Keeps,2669366
1986,Heathcliff: The Movie,2610686
1986,The Men's Club,2556361
1986,Streets of Gold,2546238
1986,True Stories,2545142
1986,Reform School Girls,2510433
1986,P.O.W. the Escape,2497233
1986,Desert Hearts,2492088
1986,My Beautiful Laundrette,2451545
1986,"Hey There, It's Yogi Bear",2438233
1986,Dangerously Close,2390525
1986,At Close Range,2347000
1986,Shanghai Surprise,2315683
1986,Sky Bandits,2295500
1986,Nomads,2278264
1986,Turtle Diary,2156772
1986,Three Men and a Cradle,2052466
1986,Rad,2015882
1986,Betty Blue,2003822
1986,The Clan of the Cave Bear,1953732
1986,Jake Speed,1943751
1986,The Decline of the American Empire,1902706
1986,Quiet Cool,1900000
1986,Link,1720450
1986,Pirates,1641825
1986,Solarbabies,1579260
1986,Salvador,1500000
1986,Clockwise,1476356
1986,Down by Law,1435668
1986,GoBots: Battle of the Rock Lords,1338264
1986,8 Million Ways to Die,1305114
1986,Native Son,1301121
1986,The Adventures of the American Rabbit,1268443
1986,From Beyond,1261000
1986,Water,1256862
1986,Touch and Go,1254040
1986,Home of the Brave: A Film by Laurie Anderson,1250000
1986,Belizaire the Cajun,1142243
1986,Half Moon Street,1131399
1986,Absolute Beginners,930211
1986,Marlene,852676
1986,The Adventures of Mark Twain,849915
1986,Ginger & Fred,837623
1986,Nutcracker,781727
1986,Defense of the Realm,750000
1986,Where the River Runs Black,676166
1986,Modern Girls,604849
1986,Knights of the City,601451
1986,Code Name: Wild Geese,600000
1986,Night of the Creeps,591366
1986,Nobody's Fool,563358
1986,The Assault,512403
1986,Dream Lover,502237
1986,"'night, Mother",441863
1986,Desert Bloom,416393
1986,Weekend Warriors,351623
1986,La Cage aux Folles 3: The Wedding,345280
1986,TerrorVision,320256
1986,Every Time We Say Goodbye,278623
1986,Lady Jane,277646
1986,Willy/Milly,277405
1986,The Boy in Blue,275000
1986,The Gospel According to Vic,267249
1986,Radioactive Dreams,220038
1986,The Girl in the Picture,202428
1986,The Mission 2008 Re-release,141112
1986,Let's Get Harry,140980
1986,Stewardess School,136158
1986,Jocks,120808
1986,Stripper,90000
1986,16 Days of Glory,83857
1987,Three Men and a Baby,167780960
1987,Fatal Attraction,156645756
1987,Beverly Hills Cop II,153665036
1987,"Good Morning, Vietnam",123922578
1987,Moonstruck,80641316
1987,The Untouchables,76270454
1987,The Secret of My Success,66995879
1987,Stakeout,65673233
1987,Lethal Weapon,65207187
1987,The Witches of Eastwick,63766510
1987,Dirty Dancing,63462345
1987,Predator,59739418
1987,Throw Momma from the Train,57915972
1987,Dragnet,57387516
1987,La Bamba,54215416
1987,RoboCop,53424681
1987,Outrageous Fortune,52864741
1987,Broadcast News,51249404
1987,The Living Daylights,51186196
1987,Eddie Murphy: Raw,50504655
1987,"Planes, Trains & Automobiles",49530280
1987,Snow White and the Seven Dwarfs 1987 Re-release,46594212
1987,Full Metal Jacket,46360743
1987,A Nightmare on Elm Street 3: Dream Warriors,44793222
1987,The Last Emperor,43985340
1987,Wall Street,43848069
1987,Mannequin,42721196
1987,Roxanne,40050884
1987,Blind Date,39321715
1987,The Running Man,38122105
1987,Spaceballs,38119483
1987,Summer School,35659098
1987,No Way Out,35509515
1987,Like Father Like Son,34377585
1987,Adventures in Babysitting,34368475
1987,Cinderella 1987 Re-release,34101149
1987,*batteries not included,32945797
1987,The Lost Boys,32222567
1987,Can't Buy Me Love,31623833
1987,Nuts,30950002
1987,The Princess Bride,30902112
1987,Superman IV: The Quest for Peace,30281020
1987,Revenge of the Nerds II: Nerds in Paradise,30063289
1987,Harry and the Hendersons,29760613
1987,Police Academy 4: Citizens on Patrol,28061343
1987,Overboard,26713187
1987,Baby Boom,26712476
1987,Innerspace,25893810
1987,Tin Men,25411386
1987,Black Widow,25205460
1987,Ernest Goes to Camp,23509382
1987,Raising Arizona,22847564
1987,Benji the Hunted,22257624
1987,Empire of the Sun,22238696
1987,Jaws: The Revenge,20763013
1987,Hello Again,20419446
1987,Critical Condition,20240502
1987,The Principal,19734940
1987,Suspect,18782400
1987,The Believers,18753438
1987,Some Kind of Wonderful,18553948
1987,Project X,18532286
1987,The Big Easy,17685307
1987,The Aristocats 1987 Re-release,17452658
1987,Born in East L.A.,17355263
1987,Masters of the Universe,17336683
1987,Angel Heart,17185632
1987,Burglar,16337355
1987,Over the Top,16057580
1987,Flowers in the Attic,15151736
1987,Radio Days,14792779
1987,Hellraiser,14564027
1987,Ishtar,14375181
1987,Prince of Darkness,14182492
1987,Creepshow 2,14000000
1987,Hamburger Hill,13839404
1987,The Gate,13539458
1987,The Pick-up Artist,13290368
1987,Back to the Beach,13110903
1987,The Bedroom Window,12640385
1987,The Fourth Protocol,12423831
1987,Less Than Zero,12396383
1987,Fatal Beauty,12046526
1987,Extreme Prejudice,11307844
1987,Light of Day,10489617
1987,Disorderlies,10348437
1987,Someone to Watch Over Me,10278549
1987,Hope and Glory,10021120
1987,Maid to Order,9868521
1987,The Hidden,9747988
1987,From the Hip,9518342
1987,My Life as a Dog,8345266
1987,Teen Wolf Too,7888703
1987,House II: The Second Story,7800000
1987,Wanted: Dead or Alive,7555000
1987,Ironweed,7393346
1987,Who's That Girl,7305209
1987,Hiding Out,7019441
1987,Death Wish 4: The Crackdown,6880310
1987,The Chipmunk Adventure,6804312
1987,Assassination,6075793
1987,Evil Dead II,5924743
1987,Cry Freedom,5899797
1987,Wisdom,5715174
1987,Surrender,5711976
1987,Nadine,5669831
1987,The Sicilian,5406879
1987,Gardens of Stone,5262047
1987,Hollywood Shuffle,5228617
1987,Jean de Florette,4940939
1987,Hannah and Her Sisters 1987 Re-release,4691838
1987,Leonard Part 6,4615255
1987,River's Edge,4600000
1987,Made in Heaven,4572845
1987,Death Before Dishonor,4546244
1987,The Dead,4370078
1987,The Color Purple 1987 Re-release,4292009
1987,Best Seller,4278150
1987,Hot Pursuit,4215849
1987,American Ninja 2: The Confrontation,4000000
1987,Manon of the Spring,3940542
1987,My Demon Lover,3922273
1987,North Shore,3832228
1987,The Monster Squad,3769990
1987,Allan Quatermain and the Lost City of Gold,3751699
1987,Three O'Clock High,3685862
1987,Big Shots,3390043
1987,Near Dark,3369628
1987,Wish You Were Here,3283832
1987,Pinocchio and the Emperor of the Night,3261638
1987,Barfly,3221568
1987,Malone,3060858
1987,Sign 'o' the Times,3000073
1987,No Man's Land,2877571
1987,Heat,2793214
1987,The Allnighter,2700000
1987,Hello Mary Lou: Prom Night II,2683519
1987,The Care Bears Adventure in Wonderland,2608000
1987,House of Games,2585639
1987,The Stepfather,2488740
1987,Maurice,2439061
1987,Dead of Winter,2413427
1987,The Kindred,2407024
1987,Weeds,2325444
1987,The Squeeze,2228951
1987,Dark Eyes,2201428
1987,Russkies,2189047
1987,Meatballs III: Summer Job,2147228
1987,Morgan Stewart's Coming Home,2136381
1987,Date with an Angel,1988962
1987,The Curse,1930001
1987,Working Girls,1777378
1987,Hunk,1749956
1987,Personal Services,1744164
1987,The Big Town,1733017
1987,The Rosary Murders,1730337
1987,Matewan,1680358
1987,Prick Up Your Ears,1654743
1987,Making Mr. Right,1584970
1987,The Garbage Pail Kids Movie,1576615
1987,Three for the Road,1539000
1987,The Whistle Blower,1500000
1987,A Prayer for the Dying,1432687
1987,I've Heard the Mermaids Singing,1408491
1987,Penitentiary III,1392616
1987,From a Whisper to a Scream,1355728
1987,The Whales of August,1338198
1987,Steele Justice,1327740
1987,China Girl,1262091
1987,Sammy and Rosie Get Laid,1196336
1987,Dancers,1190416
1987,Return to Horror High,1189709
1987,Nightflyers,1149470
1987,Street Smart,1119112
1987,Swimming to Cambodia,1092911
1987,84 Charing Cross Road,1083486
1987,Housekeeping,1083282
1987,Cross My Heart,1025762
1987,In the Mood,999382
1987,Campus Man,989528
1987,Million Dollar Mystery,989033
1987,Gothic,916172
1987,The Glass Menagerie,895904
1987,Real Men,873903
1987,Tough Guys Don't Dance,858250
1987,The Barbarians,800000
1987,Beyond Therapy,790000
1987,The Hanoi Hilton,760000
1987,Waiting for the Moon,751555
1987,Chuck Berry: Hail! Hail! Rock 'n' Roll,719323
1987,Siesta,700000
1987,Oviri,583800
1987,Steel Dawn,562187
1987,Amazon Women on the Moon,548696
1987,Devil in the Flesh,546904
1987,Man on Fire,519596
1987,The Killing Time,500283
1987,September,486434
1987,The Good Father,421201
1987,Number One with a Bullet,410952
1988,Who Framed Roger Rabbit,238092487
1988,Rain Man,172835580
1988,Coming to America,128152301
1988,Big,114968970
1988,Twins,111938388
1988,Crocodile Dundee II,109306210
1988,Die Hard,83052633
1988,The Naked Gun: From the Files of Police Squad!,78756177
1988,Cocktail,78222753
1988,Beetlejuice,73709960
1988,Working Girl,63779477
1988,A Fish Called Wanda,62493712
1988,Scrooged,60328558
1988,Willow,57269863
1988,Beaches,57041866
1988,Rambo III,53715611
1988,Oliver & Company,53279055
1988,Bull Durham,50888729
1988,A Nightmare on Elm Street 4: The Dream Master,49369899
1988,The Land Before Time,48336291
1988,Colors,46616067
1988,Young Guns,45661556
1988,Biloxi Blues,43184798
1988,Dirty Rotten Scoundrels,42039085
1988,The Great Outdoors,41455230
1988,Tequila Sunrise,41292551
1988,Big Business,40150487
1988,Bambi 1988 Re-release,39047150
1988,Midnight Run,38413606
1988,The Dead Pool,37903295
1988,Red Heat,34994648
1988,Dangerous Liaisons,34670720
1988,Mississippi Burning,34603943
1988,Child's Play,33399041
1988,The Accidental Tourist,32632093
1988,The Accused,32078318
1988,Shoot to Kill,29300090
1988,Ernest Saves Christmas,28202109
1988,Betrayed,25816139
1988,Funny Farm,25537221
1988,Alien Nation,25216243
1988,Gorillas in the Mist,24720479
1988,The Fox and the Hound 1988 Re-release,23556988
1988,License to Drive,22433275
1988,Short Circuit 2,21630088
1988,Married to the Mob,21486757
1988,Punchline,21042667
1988,The Presidio,20324096
1988,Action Jackson,20256975
1988,Tucker: The Man and His Dream,19652638
1988,The Serpent and the Rainbow,19595031
1988,Police Academy 5: Assignment: Miami Beach,19510371
1988,Friday the 13th: The New Blood,19170001
1988,Cocoon: The Return,18924919
1988,The Seventh Sign,18875011
1988,Above the Law,18869631
1988,Halloween 4: The Return of Michael Myers,17768757
1988,Frantic,17637950
1988,Johnny Be Good,17550399
1988,For Keeps?,17514553
1988,Crossing Delancey,16262415
1988,"Bright Lights, Big City",16118077
1988,She's Having a Baby,16031707
1988,Masquerade,15855828
1988,Big Top Pee-wee,15122324
1988,Arthur 2: On the Rocks,14681192
1988,School Daze,14545844
1988,Poltergeist III,14114488
1988,Stand and Deliver,13994920
1988,My Stepmother Is an Alien,13854000
1988,The Milagro Beanfield War,13825794
1988,Return to Snowy River,13687027
1988,Vice Versa,13664060
1988,They Live,13447978
1988,I'm Gonna Git You Sucka,13030057
1988,Mystic Pizza,12793213
1988,D.O.A.,12706478
1988,Everybody's All-American,12638294
1988,Casual Sex?,12277096
1988,Hellbound: Hellraiser II,12090735
1988,Bloodsport,11806119
1988,Caddyshack II,11798302
1988,Moon Over Parador,11444204
1988,The Couch Trip,11005304
1988,Moving,10815378
1988,Iron Eagle II,10497324
1988,Shakedown,10068039
1988,The Unbearable Lightness of Being,10006806
1988,Bad Dreams,9797098
1988,Return of the Living Dead II,9205924
1988,Switching Channels,9129999
1988,Salsa,8892589
1988,Clean and Sober,8674093
1988,U2: Rattle and Hum,8600823
1988,High Spirits,8578231
1988,Without a Clue,8539181
1988,The Last Temptation of Christ,8373585
1988,Satisfaction,8253123
1988,The Blob,8247943
1988,Dead Ringers,8038508
1988,A New Life,7721852
1988,Stealing Home,7467504
1988,Phantasm II,7282851
1988,Off Limits,7242035
1988,Women on the Verge of a Nervous Breakdown,7179298
1988,A Cry in the Dark,6908797
1988,Hairspray,6672312
1988,Fresh Horses,6640346
1988,Hot to Trot,6436211
1988,Mac and Me,6424112
1988,The Unholy,6337299
1988,A Night in the Life of Jimmy Reardon,6264058
1988,Braddock: Missing in Action III,6193901
1988,1969,5979011
1988,The Rescue,5855392
1988,Eight Men Out,5680515
1988,Elvira: Mistress of the Dark,5596267
1988,Heartbreak Hotel,5509417
1988,Monkey Shines,5344577
1988,Hero and the Terror,5301200
1988,Clara's Heart,5194491
1988,Torch Song Trilogy,4868450
1988,The Good Mother,4764606
1988,Sunset,4594452
1988,"Goodbye, Children",4542825
1988,Babette's Feast,4398938
1988,Bat*21,3966256
1988,Memories of Me,3965604
1988,Feds,3838793
1988,Critters 2: The Main Course,3813293
1988,Sweet Hearts Dance,3790493
1988,Imagine: John Lennon,3754125
1988,Dead Heat,3588626
1988,Bagdad Cafe,3587303
1988,Tougher Than Leather,3582760
1988,The New Adventures of Pippi Longstocking,3569939
1988,Madame Sousatzka,3548238
1988,Things Change,3527886
1988,The Big Blue,3500411
1988,Talk Radio,3468572
1988,Pumpkinhead,3385516
1988,Wings of Desire,3230386
1988,Night of the Demons,3109904
1988,White Mischief,3107551
1988,Dominick and Eugene,3076031
1988,Messenger of Death,3074681
1988,Running on Empty,2835116
1988,The Manchurian Candidate 1988 Re-release,2757256
1988,18 Again!,2567099
1988,Kansas,2432536
1988,A World Apart,2326860
1988,Bird,2181286
1988,Salaam Bombay!,2080046
